category,tid,bvid,title,desc,pubdate,owner_mid,owner_name,view,danmaku,reply,favorite,coin,share,like,dislike
动画,27,BV12V4y127rr,黑深残拉满！美国奥特曼有多好看？《奥特灭伽》第一章,,1686135900,7487399,努力的Lorre,1929687,1808,2938,43155,60277,6179,193031,0
动画,47,BV1ac41137fa,银狼：不要按啊啊啊啊啊——！！【星穹动画】,"这一天，开拓者纠结银狼后背的那个按钮

CV
配导统筹-小鱼干
银狼-越真
开拓者-小鱼干
三月七-江时暖
丹恒-奎子",1686133200,3211302,艾尔十六,1111695,2359,1071,26549,14589,3766,106087,0
动画,27,BV1vz4y1v7yY,关于我消失的这半年间都做了什么?,"2023年6月7号晚上的录播，回归直播！

・・・‥‥………………………………………………………‥‥・・・
你好！我是冰糖IO~
我既是UP主也是虚拟主播（个人势），同时还是3D动画师哦！
可以制作的视频类型有：动画、音乐、游戏、配音、虚拟现实。
我想使用各种不同的技术为大家带来激动人心的视听体验，目标是成为你的快乐源泉⟢
感兴趣的话就关注一下我吧!!!(*˘︶˘*).｡.:*♡

冰糖IO的bilibili空间：
https://space.bilibili.com/198297

冰糖IO的直播间：
",1686147154,198297,冰糖IO,920644,3680,6065,12220,24937,5422,71916,0
动画,47,BV1qo4y1M7Kc,【星穹铁道】银狼：这年头好好做个直播这么难的吗？！,"银狼直播间爆火事件始末

————————
本期CV：
银狼/卡芙卡/三月七：@演员家辰  
开拓者/流光使者：@苏子芜呜呜呜呜 ",1686132000,287551041,一万根韭菜,709066,487,720,20583,10271,3298,107084,0
动画,253,BV1yo4y1K7Ch,师傅的强大全靠徒弟想象，孙悟空被忽悠成超级赛亚猴,,1685938529,404063636,白琳漫馆,2312259,420,85,82625,3978,94,15727,0
动画,24,BV1aM4y1i74D,六年前B站全是这种视频！！!,"时隔半年的综漫填词，如今做MAD真的是用爱发电了，喜欢的观众三连支持下吧~
原曲：群青
企划：动漫唯美风
词作：萌宠教主
唱见：黛烁
后期：Yumu",1685676900,1826871,动漫唯美风,2842258,8227,6776,204532,281360,16977,483026,0
动画,210,BV1Nu4y1f7Ra,【定格动画】美依礼芽竟教我的模型跳舞！？定格应援 极乐净土,"均为单人拍摄
临近毕业啦，一直在弄论文的事情导致更新慢了一丢丢，再加上复阳真的一点点精力都没有，熬夜拍完剪辑完，已经可以看见灵魂了。希望大家可以多多三联支持一下。
求三联 求三联 求三联
借物表：
R魂 风灵高达
R魂 独角兽高达
RG 牛高达高达
FRS faiz
R魂 初号机
HG 强袭高达
舞蹈动作：
BV1us41137Fd",1686152516,16935004,了不起の磨咕比,843084,1104,1602,16360,51098,9425,81259,0
动画,47,BV16N411C78x,十年前的高四某天，我收到一条短信,-,1685964071,692013548,谭盐,1458468,1707,4638,31160,19255,11081,207967,0
动画,27,BV1jM4y1v7Bb,这 就 是 真 的 高 考 吗 ？,兄弟们请把“高考加油”打在弹幕上，点赞投币大家都能好运连连～,1685959628,321422126,进击的金厂长,2157486,1878,1979,31359,40441,5246,171937,0
动画,47,BV1ro4y1E7c3,【warma】捣蛋！我偷走了怒九重要的东西！,"脚本/绘画/配音/视频：Warma
哼哼！让怒九感受一下找不到东西的焦躁！我把她的宝箱偷走了~
等等，怒九好像正在找来的路上，我先溜了！",1686283200,53456,Warma,417780,709,1284,13201,19809,1597,72629,0
动画,47,BV1rc41137RX,看完心情会变好哦~,"不要为了意义去生活，因为生活就是一切！每一个被你记住的日子，都将成为生命里不可复制的那一天。

BGM来源：hansatom_-_Dirtbag_1",1686063839,1195284234,李白尼的猜想,461171,477,434,17222,5958,1083,48169,0
