category,tid,bvid,title,desc,pubdate,owner_mid,owner_name,view,danmaku,reply,favorite,coin,share,like,dislike
动画,253,BV1mV4y127Ju,黑深残拉满！美国奥特超人有多好看？《奥特灭伽》第二章,,1686308700,7487399,努力的Lorre,1313963,4431,2173,25903,58777,1760,195502,0
动画,25,BV1Wh4y1G74h,账号已被盗,借物详见片尾~,1686312000,11073,hanser,1877982,1699,3127,45411,30427,9901,245331,0
动画,253,BV1to4y1N7Z6,新番时光机！一个时代的开启！10年前的观众都在看什么神片？！「2013年4月篇」泛式,"新番时光机，回顾十年前的动画！本期为2013年4月

往期：
BV1ws4y1p7k9
BV1Eg411v7a1
BV1gB4y1V7sz
BV1mR4y1A7Ey",1686398902,63231,泛式,845092,9908,4813,25641,69477,5887,127494,0
动画,47,BV1ro4y1E7c3,【warma】捣蛋！我偷走了怒九重要的东西！,"脚本/绘画/配音/视频：Warma
哼哼！让怒九感受一下找不到东西的焦躁！我把她的宝箱偷走了~
等等，怒九好像正在找来的路上，我先溜了！",1686283200,53456,Warma,800822,900,1538,24199,27455,2255,112516,0
动画,210,BV1Nu4y1f7Ra,【定格动画】美依礼芽竟教我的模型跳舞！？定格应援 极乐净土,"均为单人拍摄
临近毕业啦，一直在弄论文的事情导致更新慢了一丢丢，再加上复阳真的一点点精力都没有，熬夜拍完剪辑完，已经可以看见灵魂了。希望大家可以多多三联支持一下。
求三联 求三联 求三联
借物表：
R魂 风灵高达
R魂 独角兽高达
RG 牛高达高达
FRS faiz
R魂 初号机
HG 强袭高达
舞蹈动作：
BV1us41137Fd",1686152516,16935004,了不起の磨咕比,1238950,1495,2256,26431,79699,13669,127898,0
动画,210,BV1nM4y1Y7wf,最帅的假面骑士？一口气开箱空我全形态！万代 SHF真骨雕,想让大家都有笑容！所以，请看着吧，我的变身！,1686225600,4242174,炒蛋车间长,1330855,1898,906,13342,11787,2060,105699,0
动画,47,BV1XW4y1X7EL,有人能说出关于你的一切，你会相信他是穿越的吗？,"书：《天地神算》番茄小说app
剧情复刻，冲！",1686235435,385239922,半勺大西瓜,828478,829,427,15754,1436,314,91278,0
动画,210,BV1Fh4y1R73Q,抱歉，我抽到真的了！【星穹铁道|定格动画】,"-本视频全是私货，不含任何原作成分<(*￣▽￣*)/
-拍绿幕时发饰掉了请无视23333333
-手和手办同框实拍，片长最久的一次实验
-可以算作马戏吗？全部都是脑补拍的没有参考，但肯定平时看得多会有一些雷同和既视感，拙劣的模仿
======
借物表：
手办全部事项请咨询﻿@阿福酱酱油 
手机铃声 BV1de4y1X7SJ
EVA2233键盘",1686283200,2017611,利利那TD25,568636,446,754,15036,28701,2884,81676,0
动画,47,BV1ac41137fa,银狼：不要按啊啊啊啊啊——！！【星穹动画】,"这一天，开拓者纠结银狼后背的那个按钮

CV
配导统筹-小鱼干
银狼-越真
开拓者-小鱼干
三月七-江时暖
丹恒-奎子",1686133200,3211302,艾尔十六,1296832,2581,1136,31886,17196,4041,121107,0
动画,47,BV1Yo4y1T7Qj,【动画吃播】在七圣召唤比赛输给心海跑来乌有亭狂炫油豆腐的八重神子大人,目前为止，音质上最满意的一集,1686218400,1885113580,糯糯团的饭桌,638076,769,913,17243,20164,3660,77061,0
